segment,value,mae,rmse,r2,bias,n,skill_vs_naive
hive_id,5,0.2670252617022028,0.7888016853278087,0.19803162238628258,-0.04494499996313067,110,0.4113567649161245
hive_id,17,0.3603811354269991,1.0858666205875387,0.17382433851641832,-0.12493869738130067,82,0.20555861992738556
hive_id,21,0.6465361024211437,1.5252144789249527,0.5226569682763755,0.07435806822589994,108,-0.4252550507829438
hive_id,26,0.5329646678373415,1.5393673550343565,0.02724105182584835,0.09102458300018035,167,-0.17489275831533724
hive_id,27,0.1663369372083655,0.26745174258014826,-0.9021884045759405,0.039525889161469104,32,0.6333189144423634
hive_id,49,0.4480855298253188,1.304935210209429,0.1579239702663,0.0070618016686527976,148,0.012218865776053467
hive_id,56,0.25336716308250523,0.7858713783175925,0.20068210944390463,-0.061755574216201876,110,0.4414653295715526
hive_id,57,0.24316305480934763,0.6015767246201542,0.327008889580791,0.022745656571546778,128,0.4639597530083749
hive_id,58,0.2782233438087492,0.64737426335426,-0.16023408352259016,0.023813261146234943,69,0.38667117810717444
hive_id,62,1.7924773063952177,3.1570157132790246,-0.20381375499649423,-1.711345262303398,18,-2.9514225497797084
hive_id,67,0.3402050056614254,0.8071138096262422,0.0022556446697100663,0.0010015095909710497,152,0.25003584362139164
hive_id,69,0.5026392444300125,2.121494464356134,0.24703905575823315,-0.05823747498369259,77,-0.10804194717490523
hive_id,70,0.4915753519261675,2.1259498698432093,0.028117598645504116,0.0897619296737173,142,-0.08365217433256356
hive_id,75,0.3393120000965894,1.2349911252692116,0.0750330377731846,0.08752581057902556,167,0.25200442772194465
hive_id,82,1.4302499314128054,2.7085426922761804,0.1296228896583953,-0.4541619518396211,35,-2.1529112310888885
hive_id,88,0.1298093125179976,0.28374927999783384,0.18135186780056634,-0.021968589590723227,76,0.7138421541935425
hive_id,95,0.3122853283556545,0.9199140318498209,0.161513845110973,-0.0633208072791411,94,0.3115833132016126
hive_id,96,0.5461989562779084,1.6741033357507429,0.2787780293410521,0.34645077353509446,160,-0.20406705557855442
hive_id,97,0.177638984863541,0.3333323259591885,-0.2415559713043247,-0.035104764704605274,149,0.6084041410145438
hive_id,101,0.2567543747776056,0.8229102336038708,0.22456751800105734,0.03800721362851218,167,0.4339983984002934
hive_id,109,0.3014011365646784,0.9011306432359915,0.19009781974678386,0.05126071109182419,157,0.3355769452133238
hive_id,112,0.9819074863283598,3.2389369896156186,-0.02990187568697822,0.11191438109524722,167,-1.164563740602202
hive_id,115,0.4654575766089138,1.0836980636323925,0.4687988518612354,0.02139920343098298,167,-0.0260769035213404
hive_id,123,0.2222051301568665,0.6540525603178404,0.07448763948755821,0.07858111556002864,164,0.5101604026751432
hive_id,129,0.7296940006570244,3.1508984139450398,0.24555356610284373,0.2903421518983318,95,-0.6085722917372318
hive_id,134,0.4625779961686422,1.966893460193201,0.2479547433882796,0.3444003335918326,100,-0.019729018923305253
hive_id,135,0.587998345237495,1.4713330620990885,0.03849179612171283,0.020067082817471108,167,-0.29621162416675295
hive_id,136,0.8965653594847347,3.1127771254583183,0.09743383406191031,0.1325663350746324,128,-0.9764314818266437
hive_id,139,0.45654480884665866,1.7478036430999582,0.41932495326080255,0.19353226206882782,149,-0.006429172757289381
hive_id,141,0.6373156246450057,2.350934786480213,-0.016358682722701356,0.2539173555743205,160,-0.40492898937375066
hive_id,151,0.28798366464055486,0.6730888604634732,0.06495760441809995,0.053978100146791934,55,0.3651550608931482
hive_id,152,0.24871524772157613,0.5965292046280598,0.22469908271392036,-0.021875328277988017,167,0.4517202338826195
month,7,1.0990107953564565,2.8406043608191323,0.15772037656947502,0.06245489739095591,532,-1.4227118657118085
month,8,0.7325839247567246,2.221858938150858,0.21891217869636526,0.17338011842761003,744,-0.6149429783919333
month,9,0.32792260526631245,0.8055698633947798,0.11730519423778907,0.013873029756647197,689,0.2771117534326435
month,10,0.17330335285529214,0.5561687614601796,-0.0737299020107045,0.0659207861180992,699,0.6179618152031194
month,11,0.16403613109532733,1.0465234663885523,0.0006777193201795706,-0.05779122598478577,691,0.6383909212818885
month,12,0.30075347251103224,1.2240877895198126,0.007126963138649689,0.09720234484350604,512,0.33700468677363726
season,Autumn,0.2214654570760989,0.8264884560910754,0.034300647050251154,0.007553347688020331,2079,0.5117909733274925
season,Summer,0.8853575103045751,2.4985259824759853,0.18773218515256385,0.1271322989985348,1276,-0.951724364014326
season,Winter,0.30075347251103224,1.2240877895198126,0.007126963138649689,0.09720234484350604,512,0.33700468677363726
weight_change_decile,D1,0.08205225884475664,0.38370248737474233,-1747.8717420458777,0.008335349136402973,387,0.819120083304393
weight_change_decile,D10,2.930869711738782,4.965767414322527,0.2026589645655933,0.2691881387869755,387,-5.460949116684379
weight_change_decile,D2,0.06969132506282305,0.19810504609066762,-62.68456975675455,-0.007465867598733658,387,0.8463691158628542
weight_change_decile,D3,0.08945176064690256,0.221154127590399,-28.583513954524214,0.010450370901887449,386,0.8028082682683993
weight_change_decile,D4,0.10217033717365036,0.2593829564308719,-22.16307554901398,0.002961000737844188,387,0.7747708309688672
weight_change_decile,D5,0.12679158809663135,0.28182265220303826,-14.740491887453953,0.05611654744041336,387,0.720494569978704
weight_change_decile,D6,0.15379547432256852,0.3313935594913086,-11.863628212264112,0.04163682693584405,386,0.6609659139761119
weight_change_decile,D7,0.2038339163192529,0.3789076138503284,-9.30351979690469,0.06778038533408644,387,0.5506587835281533
weight_change_decile,D8,0.24977089345303757,0.44863533445520415,-5.779560568329513,0.08365379799436916,386,0.4493931180340712
weight_change_decile,D9,0.49963905078582904,0.8603648135519903,-4.89430864712688,0.05604516847362857,387,-0.10142817707191099
